commit	mission_reward	secondary_rewards	steps	status	description
cb45610	1121.222046	seed=42;hearts=64;junctions_aligned=53	3000	baseline	v52 baseline 8-agent seed 42
cb45610	1073.878052	seed=123;hearts=61;junctions_aligned=52	3000	baseline	v52 baseline 8-agent seed 123
cb45610	1204.055176	seed=7;hearts=72;junctions_aligned=60	3000	baseline	v52 baseline 8-agent seed 7 (avg=1133.05)
aSOVe	1126.102173	seed=42;hearts=65;junctions_aligned=53	3000	keep	aSOVe merged 8-agent seed 42 (+0.4%)
aSOVe	1074.419922	seed=123;hearts=62;junctions_aligned=52	3000	keep	aSOVe merged 8-agent seed 123 (+0.1%)
aSOVe	1222.991577	seed=7;hearts=67;junctions_aligned=60	3000	keep	aSOVe merged 8-agent seed 7 (+1.6%) (avg=1141.17 +0.7%)
aSOVe	168.876801	seed=42;hearts=43;cogs=2	3000	keep	aSOVe 2-agent spot check (84.44/agent)
